Function,Parent_Selection,Survival_Selection,Combination,Generation,Average_BSF,Average_Avg_Fit
function_1_sphere,fps,truncation,fps__truncation,33,0.00342054,0.00343207
function_1_sphere,fps,truncation,fps__truncation,34,0.00342054,0.00342786
function_1_sphere,fps,truncation,fps__truncation,35,0.00341921,0.0034218
function_1_sphere,fps,truncation,fps__truncation,36,0.00341921,0.00342061
function_1_sphere,fps,truncation,fps__truncation,37,0.00341835,0.00341957
function_1_sphere,fps,truncation,fps__truncation,38,0.00341821,0.00341912
function_1_sphere,fps,truncation,fps__truncation,39,0.00341821,0.00341883
function_1_sphere,fps,truncation,fps__truncation,40,0.0034182,0.00341859
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,1,1.02645352,8.72813858
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,2,0.39009384,3.70004689
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,3,0.25575527,1.64550821
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,4,0.15663353,0.86615024
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,5,0.14655927,0.50652064
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,6,0.11680642,0.34164507
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,7,0.09453186,0.25071492
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,8,0.06994071,0.18574517
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,9,0.05450639,0.15161955
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,10,0.04539081,0.12350541
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,11,0.04374745,0.1055862
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,12,0.03374538,0.08268449
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,13,0.01993289,0.06016538
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,14,0.01302544,0.04871962
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,15,0.00987486,0.03782037
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,16,0.00761958,0.02616322
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,17,0.00450519,0.02056678
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,18,0.00444549,0.01730891
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,19,0.00430807,0.01334379
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,20,0.00430782,0.01571166
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,21,0.00409424,0.01126953
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,22,0.00347052,0.010607
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,23,0.00295337,0.01335765
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,24,0.00284558,0.00859094
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,25,0.00239586,0.00823307
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,26,0.00239586,0.00702664
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,27,0.00239586,0.00823906
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,28,0.00239528,0.00650609
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,29,0.00239528,0.00708426
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,30,0.00239463,0.00575189
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,31,0.0023946,0.00748192
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,32,0.00211375,0.00523792
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,33,0.00210221,0.00569926
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,34,0.00199494,0.00665412
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,35,0.00199494,0.00747963
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,36,0.00199369,0.01084833
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,37,0.00157836,0.00819517
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,38,0.00136178,0.00688114
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,39,0.00136133,0.00475135
function_1_sphere,rbs,binary_tournament,rbs__binary_tournament,40,0.00123801,0.00569744
function_1_sphere,rbs,truncation,rbs__truncation,1,0.6561103,3.94371118
function_1_sphere,rbs,truncation,rbs__truncation,2,0.36745216,1.07407544
function_1_sphere,rbs,truncation,rbs__truncation,3,0.17044491,0.46347373
function_1_sphere,rbs,truncation,rbs__truncation,4,0.12057116,0.26204373
function_1_sphere,rbs,truncation,rbs__truncation,5,0.11939618,0.17833081
function_1_sphere,rbs,truncation,rbs__truncation,6,0.05506043,0.12023893
function_1_sphere,rbs,truncation,rbs__truncation,7,0.03803708,0.08352069
function_1_sphere,rbs,truncation,rbs__truncation,8,0.0102539,0.04805737
function_1_sphere,rbs,truncation,rbs__truncation,9,0.00928799,0.03011093
function_1_sphere,rbs,truncation,rbs__truncation,10,0.00928253,0.01809138
function_1_sphere,rbs,truncation,rbs__truncation,11,0.00544633,0.0110244
function_1_sphere,rbs,truncation,rbs__truncation,12,0.0051994,0.00807082
function_1_sphere,rbs,truncation,rbs__truncation,13,0.00237597,0.00517513
function_1_sphere,rbs,truncation,rbs__truncation,14,0.00225783,0.00435098
function_1_sphere,rbs,truncation,rbs__truncation,15,0.00188229,0.00354265
function_1_sphere,rbs,truncation,rbs__truncation,16,0.0018551,0.0021977
function_1_sphere,rbs,truncation,rbs__truncation,17,0.0018199,0.00193374
function_1_sphere,rbs,truncation,rbs__truncation,18,0.00181987,0.00185867
function_1_sphere,rbs,truncation,rbs__truncation,19,0.00181987,0.00183399
function_1_sphere,rbs,truncation,rbs__truncation,20,0.00181984,0.00182362
function_1_sphere,rbs,truncation,rbs__truncation,21,0.00181984,0.00182044
function_1_sphere,rbs,truncation,rbs__truncation,22,0.00181984,0.00181991
function_1_sphere,rbs,truncation,rbs__truncation,23,0.00181984,0.00181985
function_1_sphere,rbs,truncation,rbs__truncation,24,0.00181984,0.00181984
function_1_sphere,rbs,truncation,rbs__truncation,25,0.00181984,0.00181984
function_1_sphere,rbs,truncation,rbs__truncation,26,0.00181984,0.00181984
function_1_sphere,rbs,truncation,rbs__truncation,27,0.00181984,0.00181984
function_1_sphere,rbs,truncation,rbs__truncation,28,0.00181984,0.00181984
function_1_sphere,rbs,truncation,rbs__truncation,29,0.00181984,0.00181984
function_1_sphere,rbs,truncation,rbs__truncation,30,0.00181984,0.00181984
function_1_sphere,rbs,truncation,rbs__truncation,31,0.00181984,0.00181984
function_1_sphere,rbs,truncation,rbs__truncation,32,0.00181984,0.00181984
function_1_sphere,rbs,truncation,rbs__truncation,33,0.00181984,0.00181984
function_1_sphere,rbs,truncation,rbs__truncation,34,0.00181984,0.00181984
function_1_sphere,rbs,truncation,rbs__truncation,35,0.00181984,0.00181984
function_1_sphere,rbs,truncation,rbs__truncation,36,0.00181984,0.00181984
function_1_sphere,rbs,truncation,rbs__truncation,37,0.00181984,0.00181984
function_1_sphere,rbs,truncation,rbs__truncation,38,0.00181984,0.00181984
function_1_sphere,rbs,truncation,rbs__truncation,39,0.00181984,0.00181984
function_1_sphere,rbs,truncation,rbs__truncation,40,0.00181984,0.00181984
