Function,Parent_Selection,Survival_Selection,Combination,Generation,Average_BSF,Average_Avg_Fit
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,5,1.17794884,6.58502828
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,6,0.79695139,4.27456065
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,7,0.60541486,2.41557721
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,8,0.60403858,2.17267876
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,9,0.59746136,1.61955836
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,10,0.59746136,1.83037254
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,11,0.5974107,2.22541906
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,12,0.59733967,1.93367449
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,13,0.59733408,1.89881874
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,14,0.59733042,1.2214864
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,15,0.59718196,1.35349708
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,16,0.59717776,1.35921313
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,17,0.59717776,1.33883139
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,18,0.59717776,1.14758855
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,19,0.59717776,1.29100349
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,20,0.59717776,1.38401198
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,21,0.59714177,1.51277326
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,22,0.59552488,1.04691925
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,23,0.59552488,1.90121153
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,24,0.59552451,2.20428321
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,25,0.59552451,1.12208341
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,26,0.59552451,1.68093345
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,27,0.59552451,1.76895037
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,28,0.59552451,2.05843218
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,29,0.59552451,2.87116612
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,30,0.59552451,2.38437596
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,31,0.59552451,1.23714161
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,32,0.59552451,0.97429578
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,33,0.59552451,1.08577339
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,34,0.59552451,1.30357422
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,35,0.57815663,1.28160623
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,36,0.55562212,1.23394152
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,37,0.55558973,1.94731424
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,38,0.5555875,1.31269836
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,39,0.5555875,1.66301431
function_2_rosenbrock,rbs,binary_tournament,rbs__binary_tournament,40,0.54819653,1.61179948
function_2_rosenbrock,rbs,truncation,rbs__truncation,1,2.07293726,27.62889762
function_2_rosenbrock,rbs,truncation,rbs__truncation,2,1.09337185,8.04050295
function_2_rosenbrock,rbs,truncation,rbs__truncation,3,0.84186275,3.01293929
function_2_rosenbrock,rbs,truncation,rbs__truncation,4,0.78136365,1.67993598
function_2_rosenbrock,rbs,truncation,rbs__truncation,5,0.73413417,1.14643157
function_2_rosenbrock,rbs,truncation,rbs__truncation,6,0.63586462,0.91682258
function_2_rosenbrock,rbs,truncation,rbs__truncation,7,0.62668467,0.82991383
function_2_rosenbrock,rbs,truncation,rbs__truncation,8,0.61522979,0.74952759
function_2_rosenbrock,rbs,truncation,rbs__truncation,9,0.60349191,0.6753907
function_2_rosenbrock,rbs,truncation,rbs__truncation,10,0.60137426,0.6245299
function_2_rosenbrock,rbs,truncation,rbs__truncation,11,0.59568204,0.6105816
function_2_rosenbrock,rbs,truncation,rbs__truncation,12,0.59528192,0.60339551
function_2_rosenbrock,rbs,truncation,rbs__truncation,13,0.57363311,0.59625915
function_2_rosenbrock,rbs,truncation,rbs__truncation,14,0.57351848,0.59271354
function_2_rosenbrock,rbs,truncation,rbs__truncation,15,0.55154112,0.58947909
function_2_rosenbrock,rbs,truncation,rbs__truncation,16,0.55154112,0.58314162
function_2_rosenbrock,rbs,truncation,rbs__truncation,17,0.55154112,0.56932379
function_2_rosenbrock,rbs,truncation,rbs__truncation,18,0.55150002,0.56041818
function_2_rosenbrock,rbs,truncation,rbs__truncation,19,0.55148352,0.55431848
function_2_rosenbrock,rbs,truncation,rbs__truncation,20,0.55148216,0.55197196
function_2_rosenbrock,rbs,truncation,rbs__truncation,21,0.55148216,0.55166891
function_2_rosenbrock,rbs,truncation,rbs__truncation,22,0.55148216,0.55148225
function_2_rosenbrock,rbs,truncation,rbs__truncation,23,0.55148216,0.55148216
function_2_rosenbrock,rbs,truncation,rbs__truncation,24,0.55148216,0.55148216
function_2_rosenbrock,rbs,truncation,rbs__truncation,25,0.55148216,0.55148216
function_2_rosenbrock,rbs,truncation,rbs__truncation,26,0.55148216,0.55148216
function_2_rosenbrock,rbs,truncation,rbs__truncation,27,0.55148216,0.55148216
function_2_rosenbrock,rbs,truncation,rbs__truncation,28,0.55148216,0.55148216
function_2_rosenbrock,rbs,truncation,rbs__truncation,29,0.55148216,0.55148216
function_2_rosenbrock,rbs,truncation,rbs__truncation,30,0.55148216,0.55148216
function_2_rosenbrock,rbs,truncation,rbs__truncation,31,0.55148216,0.55148216
function_2_rosenbrock,rbs,truncation,rbs__truncation,32,0.55148216,0.55148216
function_2_rosenbrock,rbs,truncation,rbs__truncation,33,0.55148216,0.55148216
function_2_rosenbrock,rbs,truncation,rbs__truncation,34,0.55148216,0.55148216
function_2_rosenbrock,rbs,truncation,rbs__truncation,35,0.55148216,0.55148216
function_2_rosenbrock,rbs,truncation,rbs__truncation,36,0.55148216,0.55148216
function_2_rosenbrock,rbs,truncation,rbs__truncation,37,0.55148216,0.55148216
function_2_rosenbrock,rbs,truncation,rbs__truncation,38,0.55148216,0.55148216
function_2_rosenbrock,rbs,truncation,rbs__truncation,39,0.55148216,0.55148216
function_2_rosenbrock,rbs,truncation,rbs__truncation,40,0.55148216,0.55148216
